year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
2014,"Oregon","OR","41",92,72,"US Senate","statewide","gen","FALSE","Other","","FALSE",6672,1461618,"20171011"
2016,"Oregon","OR","41",92,72,"US Senate","statewide","gen","FALSE","Jim Lindsay","libertarian","FALSE",23941,1952478,"20171011"
2008,"Oregon","OR","41",92,72,"US Senate","statewide","gen","FALSE","Other","","FALSE",5388,1767504,"20171011"
1984,"Oregon","OR","41",92,72,"US Senate","statewide","gen","FALSE","Other","","FALSE",461,1214735,"20171011"
1998,"Oregon","OR","41",92,72,"US Senate","Statewide","gen","FALSE","Ron Wyden","democrat","FALSE",682425,1117747,"20171011"
2004,"Oregon","OR","41",92,72,"US Senate","Statewide","gen","FALSE","David Brownlow","constitution","FALSE",12397,1780550,"20171011"
1980,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Pete Flaherty","democrat","FALSE",2122391,4418042,"20171011"
1998,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Dean Snyder","constitutional","FALSE",68377,2957499,"20171011"
1998,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Bill Lloyd","democrat","FALSE",1028839,2957499,"20171011"
1994,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Rick Santorum","republican","FALSE",1735691,3513361,"20171011"
1980,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Linda Mohrbacher","socialist workers","FALSE",27229,4418042,"20171011"
1976,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","H. John Heinz III","republican","FALSE",2381891,4546353,"20171011"
1994,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Donald C. Ernsberger","libertarian","FALSE",59115,3513361,"20171011"
2000,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Ron Klink","democrat","FALSE",2154908,4735116,"20171011"
1998,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Arlen Specter","republican","FALSE",1814180,2957499,"20171011"
1982,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Liane Norman","consumer","FALSE",16530,3604108,"20171011"
1976,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Frederick W. Stanton","socialist workers","FALSE",5484,4546353,"20171011"
2004,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Betsy Summer","libertarian","FALSE",79263,5559105,"20171011"
1976,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Bernard Salera","labor","FALSE",3637,4546353,"20171011"
2000,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","John J. Featherman","libertarian","FALSE",45775,4735116,"20171011"
1980,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Lee Frissell","citizens","FALSE",16089,4418042,"20171011"
2000,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Robert E. Domske","reform","FALSE",24089,4735116,"20171011"
2016,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Katie McGinty","democrat","FALSE",2865012,6051856,"20171011"
1980,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Arlen Specter","republican","FALSE",2230404,4418042,"20171011"
1976,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Frank Kinces","communist","FALSE",2097,4546353,"20171011"
1988,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Joe Vignola","democrat","FALSE",1416764,4366598,"20171011"
1986,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Lance S. Haver","consumer","FALSE",23470,3378226,"20171011"
1980,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Frank Kinces","communist","FALSE",3334,4418042,"20171011"
1988,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Sam Blancato","new alliance","FALSE",4569,4366598,"20171011"
1986,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Bob Edgar","democrat","FALSE",1448219,3378226,"20171011"
1976,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Andrew J. Watson","constitution","FALSE",26028,4546353,"20171011"
1986,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Arlen Specter","republican","FALSE",1906537,3378226,"20171011"
1998,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Jack Iannantuono","libertarian","FALSE",46103,2957499,"20171011"
1992,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Lynn Yeakel","democrat","FALSE",2224966,4802410,"20171011"
1988,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","John Heinz","republican","FALSE",2901715,4366598,"20171011"
2012,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Rayburn Douglas Smith","libertarian","FALSE",96926,5627422,"20171011"
2016,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Edward T. Clifford III","libertarian","FALSE",235142,6051856,"20171011"
1982,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Kipp Miriam Dawson","socialist workers","FALSE",18951,3604108,"20171011"
1982,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Cyril H. Wecht","democrat","FALSE",1412965,3604108,"20171011"
1988,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Darcy Richardson","consumer","FALSE",25273,4366598,"20171011"
1982,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","John Heinz","republican","FALSE",2136418,3604108,"20171011"
1994,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Diane Blough","patriot","FALSE",69825,3513361,"20171011"
2004,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","James N. Clymer","constitution","FALSE",220056,5559105,"20171011"
2000,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Rick Santorum","republican","FALSE",2481962,4735116,"20171011"
1994,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Harris Wofford","democrat","FALSE",1648481,3513361,"20171011"
1992,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","John F Perry III","libertarian","FALSE",219319,4802410,"20171011"
1976,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","William J. Green","democrat","FALSE",2126977,4546353,"20171011"
2010,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Pat Toomey","republican","FALSE",2028945,3977661,"20171011"
2004,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Arlen Specter","republican","FALSE",2925080,5559105,"20171011"
2006,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Bob Casey, Jr.","democrat","FALSE",2392984,4081043,"20171011"
2000,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Lester B. Searer","constitution","FALSE",28382,4735116,"20171011"
2006,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","","","TRUE",3281,4081043,"20171011"
1980,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","David K. Walter","libertarian","FALSE",18595,4418042,"20171011"
1982,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Barbara I. Karkutt","libertarian","FALSE",19244,3604108,"20171011"
1994,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","","","TRUE",249,3513361,"20171011"
1988,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Henry Haller III","libertarian","FALSE",11822,4366598,"20171011"
1976,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Other","","FALSE",239,4546353,"20171011"
1992,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Arlen Specter","republican","FALSE",2358125,4802410,"20171011"
2004,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Blank Vote/Scattering","","FALSE",580,5559105,"20171011"
1988,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Samuel Cross, Jr.","populist","FALSE",6455,4366598,"20171011"
2004,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Joseph M. Hoeffel","democrat","FALSE",2334126,5559105,"20171011"
2012,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Tom Smith","republican","FALSE",2509132,5627422,"20171011"
2006,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Rick Santorum","republican","FALSE",1684778,4081043,"20171011"
2016,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Patrick J. Toomey","republican","FALSE",2951702,6051856,"20171011"
2010,"Pennsylvania","PA","42",23,14,"US Senate","Statewide","gen","FALSE","Joe Sestak","democrat","FALSE",1948716,3977661,"20171011"
2012,"Pennsylvania","PA","42",23,14,"US Senate","statewide","gen","FALSE","Robert P. Casey, Jr.","democrat","FALSE",3021364,5627422,"20171011"
2014,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Jack Reed","democrat","FALSE",223675,316898,"20171011"
1990,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Claudine Schneider","republican","FALSE",138947,364062,"20171011"
2002,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Jack Reed","democrat","FALSE",253774,323582,"20171011"
1984,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Barbara M. Leonard","republican","FALSE",107545,393356,"20171011"
1994,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Linda J. Kushner","democrat","FALSE",122532,345388,"20171011"
1984,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Claiborne deB. Pell","democrat","FALSE",285811,393356,"20171011"
2008,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Jack Reed","democrat","FALSE",320644,438812,"20171011"
1988,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Richard A. Licht","democrat","FALSE",180717,397990,"20171011"
2006,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Lincoln Chafee","republican","FALSE",178950,384993,"20171011"
1988,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","John H. Chaffee","republican","FALSE",217273,397990,"20171011"
2008,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","","","TRUE",1994,438812,"20171011"
2000,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Robert A. Weygand","democrat","FALSE",161023,391353,"20171011"
2014,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Mark S. Zaccaria","republican","FALSE",92684,316898,"20171011"
1996,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Donald W. Lovejoy","independent","FALSE",6327,364371,"20171011"
1982,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","John H. Chafee","republican","FALSE",175495,342778,"20171011"
2000,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Lincoln D. Chafee","republican","FALSE",222588,391353,"20171011"
1978,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Claiborne Pell","democrat","FALSE",229557,305618,"20171011"
2012,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","","","TRUE",933,418189,"20171011"
2006,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Sheldon Whitehouse","democrat","FALSE",206043,384993,"20171011"
1996,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Jack Reed","democrat","FALSE",230676,364371,"20171011"
1990,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Claiborne Pell","democrat","FALSE",225105,364062,"20171011"
1976,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Richard P. Lorber","democrat","FALSE",167665,398906,"20171011"
1996,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Nancy J. Mayer","republican","FALSE",127368,364371,"20171011"
2014,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","","","TRUE",539,316898,"20171011"
2012,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Sheldon Whitehouse","democrat","FALSE",271034,418189,"20171011"
2012,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Benjamin Barrett Hinckley III","republican","FALSE",146222,418189,"20171011"
1990,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","","","TRUE",10,364062,"20171011"
2000,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Kenneth P. Proulx","independent","FALSE",3635,391353,"20171011"
1976,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","John H. Chafee","republican","FALSE",230329,398906,"20171011"
2000,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Christopher Young","reform","FALSE",4107,391353,"20171011"
1982,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Julius C. Michaelson","democrat","FALSE",167283,342778,"20171011"
2008,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Robert G. Tingle","republican","FALSE",116174,438812,"20171011"
2002,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Robert G. Tingle","republican","FALSE",69808,323582,"20171011"
1994,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","John H. Chafee","republican","FALSE",222856,345388,"20171011"
1976,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","Margaret R. Cann","communist","FALSE",912,398906,"20171011"
1978,"Rhode Island","RI","44",15,5,"US Senate","statewide","gen","FALSE","James G. Reyonlds","republican","FALSE",76061,305618,"20171011"
1978,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Strom Thurmond","republican","FALSE",351917,632063,"20171011"
2004,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Tee Ferguson","united citizens","FALSE",5859,1597221,"20171011"
1984,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Strom Thurmond","republican","FALSE",644815,965130,"20171011"
1986,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Ray Hillyard","american","FALSE",4588,737962,"20171011"
1978,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Charles D. Ravenel","democrat","FALSE",280146,632063,"20171011"
2004,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","","","TRUE",1286,1597221,"20171011"
1980,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Marshall Mays","republican","FALSE",257946,870500,"20171011"
1998,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Bob Inglis","republican","FALSE",488238,1069063,"20171011"
1996,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Strom Thurmond","republican","FALSE",619859,1161231,"20171011"
1998,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Richard T. Quillian","libertarian","FALSE",16991,1069063,"20171011"
1992,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Tommy Hartnett","republican","FALSE",554175,1180438,"20171011"
2008,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Bob Conley","democrat","FALSE",790621,1871431,"20171011"
2014,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Brad Hutto","working families","FALSE",24207,1240075,"20171011"
1990,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","","","TRUE",450,750716,"20171011"
1996,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Elliot Springs Close","democrat","FALSE",510951,1161231,"20171011"
1986,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Steven B. Vandervelde","libertarian","FALSE",4789,737962,"20171011"
1990,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Strom Thurmond","republican","FALSE",482032,750716,"20171011"
2016,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Thomas Dixon","democrat","FALSE",704540,2049893,"20171011"
1980,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Ernest Fritz Hollings","democrat","FALSE",612554,870500,"20171011"
2004,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Patrick Tyndall","constitution","FALSE",13464,1597221,"20171011"
2004,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Rebekah E. Sutherland","libertarian","FALSE",10678,1597221,"20171011"
1990,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Bob Cunningham","democrat","FALSE",244112,750716,"20171011"
2016,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Bill Bledsoe","libertarian","FALSE",24830,2049893,"20171011"
1996,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Richard T. Quillian","libertarian","FALSE",12988,1161231,"20171011"
1986,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","","","TRUE",199,737962,"20171011"
2004,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Jim DeMint","republican","FALSE",857167,1597221,"20171011"
2014,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Brad Hutto","democrat","FALSE",456726,1240075,"20171011"
2010,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","","","TRUE",21953,1318794,"20171011"
2016,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Thomas Dixon","working families","FALSE",37610,2049893,"20171011"
2014,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","TRUE","Jill Bossi","american","FALSE",21652,1238982,"20171011"
2010,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Tom Clements","green","FALSE",121472,1318794,"20171011"
1992,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Robert Barnwell Clarkson II","american","FALSE",11568,1180438,"20171011"
2016,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Bill Bledsoe","constitution","FALSE",12652,2049893,"20171011"
2002,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Ted Adams","constitution","FALSE",8228,1102912,"20171011"
2016,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Tim Scott","republican","FALSE",1241609,2049893,"20171011"
1998,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Ernest F. Hollings","democrat","FALSE",563377,1069063,"20171011"
2002,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Lindsey O. Graham","republican","FALSE",600010,1102912,"20171011"
1996,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Peter J. Ashy","reform","FALSE",9740,1161231,"20171011"
2002,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Alex Sanders","democrat","FALSE",487359,1102912,"20171011"
1984,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Melvin Purvis","democrat","FALSE",306982,965130,"20171011"
1990,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","William H. Griffin","libertarian","FALSE",13805,750716,"20171011"
2010,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Alvin M. Greene","democrat","FALSE",364598,1318794,"20171011"
1992,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Ernest F. Hollings","democrat","FALSE",591030,1180438,"20171011"
1984,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Stephen Davis","libertarian","FALSE",13333,965130,"20171011"
2004,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Inez Tenenbaum","democrat","FALSE",704384,1597221,"20171011"
2016,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","","","TRUE",1857,2049893,"20171011"
2002,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Victor Kocher","libertarian","FALSE",6648,1102912,"20171011"
2014,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Lindsey Graham","republican","FALSE",672941,1240075,"20171011"
2010,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Jim DeMint","republican","FALSE",810771,1318794,"20171011"
2008,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Lindsey Graham","republican","FALSE",1076534,1871431,"20171011"
2014,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","TRUE","Joyce Dickerson","democrat","FALSE",459583,1238982,"20171011"
1986,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Henry D. McMaster","republican","FALSE",262886,737962,"20171011"
1992,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","","","TRUE",703,1180438,"20171011"
2014,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","","","TRUE",4774,1240075,"20171011"
2004,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Efia Nwangaza","green","FALSE",4245,1597221,"20171011"
2008,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","","","TRUE",4276,1871431,"20171011"
2014,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","TRUE","Tim Scott","republican","FALSE",757215,1238982,"20171011"
2016,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Rebel Michael Scarborough","american","FALSE",11923,2049893,"20171011"
1998,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","","","TRUE",457,1069063,"20171011"
1986,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Ernest Fritz Hollings","democrat","FALSE",465500,737962,"20171011"
1996,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Annette C. Estes","natural law","FALSE",7693,1161231,"20171011"
2016,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Thomas Dixon","green","FALSE",14872,2049893,"20171011"
2004,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Efia Nwangaza","independence","FALSE",138,1597221,"20171011"
2002,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","","","TRUE",667,1102912,"20171011"
2014,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","TRUE","","","TRUE",532,1238982,"20171011"
2014,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Thomas Ravenel","petition","FALSE",47588,1240075,"20171011"
1992,"South Carolina","SC","45",57,48,"US Senate","Statewide","gen","FALSE","Mark Johnson","libertarian","FALSE",22962,1180438,"20171011"
2014,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Victor Kocher","libertarian","FALSE",33839,1240075,"20171011"
1990,"South Carolina","SC","45",57,48,"US Senate","statewide","gen","FALSE","Marion C. Metts","american","FALSE",10317,750716,"20171011"
1990,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Ted Muenster","democrat","FALSE",116727,258976,"20171011"
2016,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","John R. Thune","republican","FALSE",265516,369656,"20171011"
1984,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","George V. Cunningham","democrat","FALSE",80537,315713,"20171011"
2014,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Mike Rounds","republican","FALSE",140741,279412,"20171011"
2002,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Kurt Evans","libertarian","FALSE",3071,337501,"20171011"
2014,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Gordon Howie","independent","FALSE",8474,279412,"20171011"
2004,"South Dakota","SD","46",45,37,"US Senate","Statewide","gen","FALSE","Tom Daschle","democrat","FALSE",193340,391188,"20171011"
1980,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","James Abdnor","republican","FALSE",190594,327478,"20171011"
2010,"South Dakota","SD","46",45,37,"US Senate","Statewide","gen","FALSE","John Thune","republican","FALSE",227947,227947,"20171011"
1996,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Larry Pressler","republican","FALSE",157954,324487,"20171011"
1978,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Don Barnett","democrat","FALSE",84767,255599,"20171011"
1996,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Tim Johnson","democrat","FALSE",166533,324487,"20171011"
1980,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","George McGovern","democrat","FALSE",129018,327478,"20171011"
1990,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Dean L. Sinclair","independent","FALSE",6567,258976,"20171011"
2002,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Tim Johnson","democrat","FALSE",167481,337501,"20171011"
1990,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Larry Pressler","republican","FALSE",135682,258976,"20171011"
1978,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Larry Pressler","republican","FALSE",170832,255599,"20171011"
1984,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Larry Pressler","republican","FALSE",235176,315713,"20171011"
2004,"South Dakota","SD","46",45,37,"US Senate","Statewide","gen","FALSE","John Thune","republican","FALSE",197848,391188,"20171011"
1986,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Thomas A. Daschle","democrat","FALSE",152657,295830,"20171011"
2008,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Joel Dykstra","republican","FALSE",142784,380673,"20171011"
2008,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Tim Johnson","democrat","FALSE",237889,380673,"20171011"
2014,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Larry Pressler","independent","FALSE",47741,279412,"20171011"
1980,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Wayne Peterson","independent","FALSE",7866,327478,"20171011"
1992,"South Dakota","SD","46",45,37,"US Senate","Statewide","gen","FALSE","Kent Hyde","independent","FALSE",4314,334495,"20171011"
2014,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Rick Weiland","democrat","FALSE",82456,279412,"20171011"
1992,"South Dakota","SD","46",45,37,"US Senate","Statewide","gen","FALSE","Thomas A. Daschle","democrat","FALSE",217095,334495,"20171011"
1986,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","James Abdnor","republican","FALSE",143173,295830,"20171011"
1998,"South Dakota","SD","46",45,37,"US Senate","Statewide","gen","FALSE","Tom Daschle","democrat","FALSE",162884,262111,"20171011"
2002,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","John Thune","republican","FALSE",166949,337501,"20171011"
1998,"South Dakota","SD","46",45,37,"US Senate","Statewide","gen","FALSE","Byron Dale","libertarian","FALSE",3796,262111,"20171011"
1992,"South Dakota","SD","46",45,37,"US Senate","Statewide","gen","FALSE","Charlene Haar","republican","FALSE",108733,334495,"20171011"
1992,"South Dakota","SD","46",45,37,"US Senate","Statewide","gen","FALSE","Gus Hercules","libertarian","FALSE",4353,334495,"20171011"
1998,"South Dakota","SD","46",45,37,"US Senate","Statewide","gen","FALSE","Ron Schmidt","republican","FALSE",95431,262111,"20171011"
2016,"South Dakota","SD","46",45,37,"US Senate","statewide","gen","FALSE","Jay Williams","democrat","FALSE",104140,369656,"20171011"
2012,"Tennessee","TN","47",62,54,"US Senate","statewide","gen","FALSE","David Gatchell","independent","FALSE",6523,2321477,"20171011"
